CODICE PRODOTTO,CODICE OE,CODICI CROSS,BRAND,DESCRIZIONE,LINK IMMAGINE,CATEGORIA,GIACENZA,PREZZO,SCHEDA TECNICA,SCHEDA DI SICUREZZA,CONFEZIONE,QUANTITÀ MINIMA,META.LUNGHEZZA,META.LARGHEZZA,META.PROFONDITA',META. ...
C1E017ABE,42555881,,ABE,PAST.FR.C/KIT DAILY 2006,,Ricambio,3.0,28.9,,,1 pz,1,,,,
C2E001ABE,42555917,,ABE,PAST.FR.C/KIT DAILY 2006,,Ricambio,2.0,24.9,,,1 pz,1,,,,
XH412M,Unknown OE,,AMADI,Filtro Deidratatore,,Ricambio,4.0,43.9,,,1 pz,1,,,,
PAS0078MV,Unknown OE,,ARDECO,GEL MANI FLACONE 1000ML C/DISP,,Ricambio,11.0,18.9,,,1 pz,1,,,,
0075,,,AREXONS,RHODORSEAL GUAR.MOT. FIRE ML70,,Ricambio,9.0,14.9,,,1 pz,1,,,,
0090,,,AREXONS,SIGILLANTE VERDE ML 100,,Ricambio,34.0,17.9,,,1 pz,1,,,,
0094,,,AREXONS,MOTORBLACK GR. 60,,Ricambio,44.0,12.9,,,1 pz,1,,,,
0096,,,AREXONS,MOTORSIL D ROSSO GR. 60,,Ricambio,29.0,13.9,,,1 pz,1,,,,
0099,,,AREXONS,BLACK SILICONE GASKET ML. 200,,Ricambio,24.0,18.9,,,1 pz,1,,,,
0910,,,AREXONS,GUANT NITR SPESS NERO XL PKG50,,Ricambio,21.0,18.9,,,1 pz,1,,,,
0917,,,AREXONS,GUANTI NITRILE TAGLIA M PZ50,,Ricambio,36.0,12.9,,,1 pz,1,,,,
0918,,,AREXONS,GUANTI NITRILE TAGLIA L PZ50,,Ricambio,50.0,12.9,,,1 pz,1,,,,
0919,,,AREXONS,GUANTI NITRILE ARANC TG.XL.-50PZ,,Ricambio,30.0,12.9,,,1 pz,1,,,,
2323,,,AREXONS,SVITOL EASY GRASSO,,Ricambio,13.0,12.9,,,1 pz,1,,,,
3571,,,AREXONS,TURAFALLE LIQU X RADIAT ML300,,Ricambio,13.0,13.9,,,1 pz,1,,,,
3705,,,AREXONS,KIT COMPLETO PULIZIA FAP/DPF,,Ricambio,8.0,45.9,,,1 pz,1,,,,
4257,,,AREXONS,GRASSO MULTIUSO NLGI 2 KG.1,,Ricambio,18.0,12.9,,,1 pz,1,,,,
4700,,,AREXONS,FRENAFILETTI FORTE ML. 10,,Ricambio,12.0,11.9,,,1 pz,1,,,,
4701,,,AREXONS,FRENAFILETTI FORTE ML. 50,,Ricambio,5.0,21.9,,,1 pz,1,,,,
4736,,,AREXONS,SYSTEM 35A73 SIGIL PIANI ML250,,Ricambio,2.0,41.9,,,1 pz,1,,,,
8155,,,AREXONS,MONTAGGIO MARMITTE ML 80,,Ricambio,10.0,12.9,,,1 pz,1,,,,
9360,,,AREXONS,GRASSO X CUSCIN NLGI3 0.85 KG,,Ricambio,24.0,12.9,,,1 pz,1,,,,
9370,,,AREXONS,GRASSO BISOLF DI MOLIBDEN KG.1,,Ricambio,5.0,14.9,,,1 pz,1,,,,
9383,,,AREXONS,OLIO 3X C3 5W40 PLUS LT. 1,,Ricambio,3.0,12.9,,,1 pz,1,,,,
9654,,,AREXONS,DIESEL PULITOR INIETTORI ML250,,Ricambio,2.0,11.9,,,1 pz,1,,,,
9830,,,AREXONS,PULITORE IMPIANTO C/RAIL 250ML,,Ricambio,10.0,12.9,,,1 pz,1,,,,
510.4057,,,ASSO,IVECO EUROCARGO IV/V,,Ricambio,4.0,63.9,,,1 pz,1,,,,
