TecDoc-ID,TecDoc Brand,TecDoc Brand ID,Description,Quantity,Price_Italia,Price_Germany,Brand Type
C1E017ABE,ABE,4426,PAST.FR.C/KIT DAILY 2006,3.0,28.9,31.9,AFTERMARKET
C2E001ABE,ABE,4426,PAST.FR.C/KIT DAILY 2006,2.0,24.9,27.9,AFTERMARKET
XH412M,AMADI,MISSING TECDOC ID,Filtro Deidratatore,4.0,43.9,46.9,AFTERMARKET
PAS0078MV,ARDECA LUBRICANTS,6338,GEL MANI FLACONE 1000ML C/DISP,11.0,18.9,21.9,AFTERMARKET
0075,AREXONS,MISSING TECDOC ID,RHODORSEAL GUAR.MOT. FIRE ML70,9.0,14.9,17.9,AFTERMARKET
0090,AREXONS,MISSING TECDOC ID,SIGILLANTE VERDE ML 100,34.0,17.9,20.9,AFTERMARKET
0094,AREXONS,MISSING TECDOC ID,MOTORBLACK GR. 60,44.0,12.9,15.9,AFTERMARKET
0096,AREXONS,MISSING TECDOC ID,MOTORSIL D ROSSO GR. 60,29.0,13.9,16.9,AFTERMARKET
0099,AREXONS,MISSING TECDOC ID,BLACK SILICONE GASKET ML. 200,24.0,18.9,21.9,AFTERMARKET
0910,AREXONS,MISSING TECDOC ID,GUANT NITR SPESS NERO XL PKG50,21.0,18.9,21.9,AFTERMARKET
0917,AREXONS,MISSING TECDOC ID,GUANTI NITRILE TAGLIA M PZ50,36.0,12.9,15.9,AFTERMARKET
0918,AREXONS,MISSING TECDOC ID,GUANTI NITRILE TAGLIA L PZ50,50.0,12.9,15.9,AFTERMARKET
0919,AREXONS,MISSING TECDOC ID,GUANTI NITRILE ARANC TG.XL.-50PZ,30.0,12.9,15.9,AFTERMARKET
2323,AREXONS,MISSING TECDOC ID,SVITOL EASY GRASSO,13.0,12.9,15.9,AFTERMARKET
3571,AREXONS,MISSING TECDOC ID,TURAFALLE LIQU X RADIAT ML300,13.0,13.9,16.9,AFTERMARKET
3705,AREXONS,MISSING TECDOC ID,KIT COMPLETO PULIZIA FAP/DPF,8.0,45.9,48.9,AFTERMARKET
4257,AREXONS,MISSING TECDOC ID,GRASSO MULTIUSO NLGI 2 KG.1,18.0,12.9,15.9,AFTERMARKET
4700,AREXONS,MISSING TECDOC ID,FRENAFILETTI FORTE ML. 10,12.0,11.9,14.9,AFTERMARKET
4701,AREXONS,MISSING TECDOC ID,FRENAFILETTI FORTE ML. 50,5.0,21.9,24.9,AFTERMARKET
4736,AREXONS,MISSING TECDOC ID,SYSTEM 35A73 SIGIL PIANI ML250,2.0,41.9,44.9,AFTERMARKET
8155,AREXONS,MISSING TECDOC ID,MONTAGGIO MARMITTE ML 80,10.0,12.9,15.9,AFTERMARKET
9360,AREXONS,MISSING TECDOC ID,GRASSO X CUSCIN NLGI3 0.85 KG,24.0,12.9,15.9,AFTERMARKET
9370,AREXONS,MISSING TECDOC ID,GRASSO BISOLF DI MOLIBDEN KG.1,5.0,14.9,17.9,AFTERMARKET
9383,AREXONS,MISSING TECDOC ID,OLIO 3X C3 5W40 PLUS LT. 1,3.0,12.9,15.9,AFTERMARKET
9654,AREXONS,MISSING TECDOC ID,DIESEL PULITOR INIETTORI ML250,2.0,11.9,14.9,AFTERMARKET
9830,AREXONS,MISSING TECDOC ID,PULITORE IMPIANTO C/RAIL 250ML,10.0,12.9,15.9,AFTERMARKET
510.4057,ASSO,298,IVECO EUROCARGO IV/V,4.0,63.9,66.9,AFTERMARKET
592.1001,ASSO,298,SENSORE NOX,1.0,194.9,197.9,AFTERMARKET
592.1006,ASSO,298,SENSORE NOX E6 MAN,1.0,216.9,219.9,AFTERMARKET
592.1008,ASSO,298,SENSORE NOx E5 MERCEDES,1.0,194.9,197.9,AFTERMARKET
592.1010,ASSO,298,SENSORE NOX,1.0,194.9,197.9,AFTERMARKET
592.1012,ASSO,298,SENSORE NOX E5 DAF 24V,2.0,188.9,191.9,AFTERMARKET
592.1015,ASSO,298,SENSORE NOX,1.0,163.9,166.9,AFTERMARKET
592.1016,ASSO,298,SENSORE NOX E5 SCANIA P-G-R-T,1.0,169.9,172.9,AFTERMARKET
592.1018,ASSO,298,SENSORE NOX,2.0,191.9,194.9,AFTERMARKET
592.1019,ASSO,298,SENSORE NOX,2.0,163.9,166.9,AFTERMARKET
592.1020,ASSO,298,SENSORE NOX E5 RENAULT GAMMA C,2.0,169.9,172.9,AFTERMARKET
592.1024,ASSO,298,SENSORE NOx E6 IVECO,1.0,156.9,159.9,AFTERMARKET
592.1025,ASSO,298,SENSORE NOX,3.0,169.9,172.9,AFTERMARKET
592.1027,ASSO,298,SENSORE NOx  MECEDES,1.0,185.9,188.9,AFTERMARKET
592.1028,ASSO,298,SENSORE NOX E5 MERC,1.0,219.9,222.9,AFTERMARKET
599.0050,ASSO,298,FASCETTA,1.0,19.9,22.9,AFTERMARKET
